Degree,Specialization,CGPA,JobRole
B.Tech,Computer Science,8.5,Software Engineer
B.Tech,Computer Science,7.9,Software Engineer
B.Tech,Information Technology,8.1,Web Developer
B.Tech,Information Technology,6.5,Support Engineer
B.Sc,Data Science,7.8,Data Analyst
B.Sc,Data Science,8.9,Data Scientist
B.Sc,Statistics,7.2,Data Analyst
B.Sc,Mathematics,6.8,Business Analyst
MBA,Finance,8.2,Financial Analyst
MBA,Finance,7.5,Accountant
MBA,Human Resources,6.9,HR Manager
MBA,Marketing,8.0,Marketing Manager
M.Tech,Computer Science,9.1,Senior Software Engineer
M.Tech,Data Science,8.8,Machine Learning Engineer
B.Tech,Electronics,7.0,Hardware Engineer
B.Tech,Computer Science,5.5,Intern
B.Sc,Physics,6.2,Lab Technician
MBA,Finance,9.0,Investment Banker
B.Tech,Information Technology,7.7,System Admin
B.Sc,Data Science,8.3,Business Intelligence Analyst
MBA,Human Resources,7.1,Recruiter
B.Tech,Computer Science,8.6,Full Stack Developer
M.Tech,Information Technology,8.4,Cloud Architect
B.Sc,Mathematics,7.4,Operations Analyst
MBA,Marketing,7.8,Sales Manager
B.Tech,Electronics,6.6,Network Engineer
B.Sc,Statistics,8.0,Risk Analyst
M.Tech,Computer Science,8.9,AI Specialist
B.Tech,Information Technology,7.3,QA Engineer
MBA,Finance,6.5,Audit Associate
B.Sc,Data Science,9.2,Data Engineer
B.Tech,Computer Science,7.6,Backend Developer
MBA,Human Resources,8.1,Talent Acquisition
B.Sc,Mathematics,7.9,Quantitative Analyst
B.Tech,Electronics,8.2,Embedded Systems Engineer
